kind,mutter,vater
185.928, 170.18, 199.39000000000001
186.69, 168.91, 191.77
184.15, 168.91, 191.77
180.34, 162.56, 190.5
179.07, 162.56, 190.5
173.99, 162.56, 190.5
182.88, 148.59, 190.5
175.26, 148.59, 190.5
172.72, 148.59, 190.5
194.31, 172.72, 187.96
187.96, 172.72, 187.96
185.42000000000002, 172.72, 187.96
185.42000000000002, 172.72, 187.96
187.96, 157.48, 187.96
177.8, 157.48, 187.96
172.72, 170.18, 185.42000000000002
170.18, 170.18, 185.42000000000002
180.34, 168.91, 185.42000000000002
179.07, 168.91, 185.42000000000002
182.88, 165.1, 185.42000000000002
179.07, 165.1, 185.42000000000002
178.30800000000002, 165.1, 185.42000000000002
178.30800000000002, 165.1, 185.42000000000002
175.768, 165.1, 185.42000000000002
187.96, 163.83, 185.42000000000002
185.42000000000002, 163.83, 185.42000000000002
181.61, 163.83, 185.42000000000002
158.75, 163.83, 185.42000000000002
185.928, 175.26, 184.65800000000002
185.42000000000002, 175.26, 184.65800000000002
184.65800000000002, 175.26, 184.65800000000002
185.42000000000002, 172.72, 182.88
185.42000000000002, 170.18, 182.88
180.34, 170.18, 182.88
188.46800000000002, 165.1, 182.88
179.07, 165.1, 182.88
176.53, 165.1, 182.88
179.07, 160.02, 182.88
179.07, 160.02, 182.88
175.26, 160.02, 182.88
175.26, 160.02, 182.88
170.18, 160.02, 182.88
185.42000000000002, 160.02, 182.88
170.18, 160.02, 182.88
180.34, 157.48, 184.15
177.8, 157.48, 184.15
177.8, 157.48, 184.15
187.96, 157.48, 182.88
182.88, 157.48, 182.88
175.26, 157.48, 182.88
182.88, 157.48, 182.88
181.61, 157.48, 182.88
181.61, 157.48, 182.88
177.8, 157.48, 182.88
198.12, 175.26, 180.34
187.96, 175.26, 180.34
185.42000000000002, 175.26, 180.34
182.88, 175.26, 180.34
185.928, 170.18, 180.34
185.42000000000002, 170.18, 180.34
175.26, 170.18, 180.34
177.8, 167.64000000000001, 180.34
177.8, 167.64000000000001, 180.34
175.26, 167.64000000000001, 180.34
173.99, 167.64000000000001, 180.34
180.34, 167.64000000000001, 180.34
193.04, 167.64000000000001, 180.34
182.88, 167.64000000000001, 180.34
180.34, 167.64000000000001, 180.34
167.64000000000001, 167.64000000000001, 180.34
179.07, 166.37, 182.11800000000002
182.88, 166.37, 180.34
182.88, 166.37, 180.34
180.34, 166.37, 180.34
175.26, 166.37, 180.34
185.42000000000002, 166.37, 181.61
173.99, 165.1, 181.61
171.958, 165.1, 181.61
172.72, 165.1, 180.34
172.72, 165.1, 180.34
182.88, 163.83, 182.11800000000002
180.34, 163.83, 182.11800000000002
179.07, 163.83, 182.11800000000002
172.72, 162.56, 180.34
172.72, 162.56, 180.34
172.72, 162.56, 180.34
182.88, 163.83, 181.61
180.34, 163.83, 181.61
177.8, 163.83, 181.61
180.34, 161.29, 180.34
170.18, 161.29, 180.34
180.34, 160.02, 180.34
177.8, 160.02, 180.34
177.8, 160.02, 180.34
162.56, 160.02, 180.34
180.34, 160.02, 180.34
180.34, 160.02, 180.34
177.8, 160.02, 180.34
180.34, 157.48, 180.34
177.8, 157.48, 180.34
182.88, 157.48, 180.34
179.07, 157.48, 180.34
179.07, 157.48, 180.34
177.8, 158.75, 180.34
179.07, 157.48, 180.34
177.8, 157.48, 180.34
175.26, 157.48, 180.34
175.26, 157.48, 180.34
167.64000000000001, 157.48, 180.34
181.61, 147.32, 180.34
175.26, 147.32, 180.34
180.34, 175.26, 177.8
177.8, 175.26, 177.8
175.26, 175.26, 177.8
177.8, 175.26, 177.8
174.49800000000002, 175.26, 177.8
190.5, 172.72, 177.8
177.8, 170.18, 177.8
175.26, 170.18, 177.8
185.42000000000002, 168.91, 177.8
182.88, 168.91, 177.8
182.88, 168.91, 177.8
168.91, 168.91, 177.8
182.88, 165.1, 179.07
178.30800000000002, 165.1, 179.07
175.26, 165.1, 179.07
173.99, 165.1, 179.07
185.42000000000002, 165.1, 177.8
182.88, 165.1, 177.8
179.07, 165.1, 177.8
165.1, 165.1, 177.8
165.1, 165.1, 177.8
170.18, 165.1, 177.8
165.1, 165.1, 177.8
177.8, 165.1, 177.8
177.8, 165.1, 177.8
200.66, 165.1, 177.8
190.5, 165.1, 177.8
180.34, 165.1, 177.8
185.42000000000002, 165.1, 177.8
184.15, 165.1, 177.8
175.26, 165.1, 177.8
175.26, 165.1, 177.8
182.88, 164.33800000000002, 177.8
177.8, 164.33800000000002, 177.8
174.49800000000002, 164.33800000000002, 177.8
179.578, 162.56, 177.8
177.8, 162.56, 177.8
172.72, 162.56, 177.8
170.18, 162.56, 177.8
167.64000000000001, 162.56, 177.8
165.1, 162.56, 177.8
177.8, 162.56, 177.8
172.72, 162.56, 177.8
169.418, 162.56, 177.8
182.88, 163.068, 177.8
177.8, 163.068, 177.8
187.96, 162.56, 179.07
176.53, 162.56, 179.07
175.26, 162.56, 179.07
172.72, 162.56, 179.07
172.72, 162.56, 179.07
172.72, 162.56, 179.07
172.72, 162.56, 177.8
180.34, 162.56, 177.8
177.8, 162.56, 177.8
177.8, 162.56, 177.8
177.8, 162.56, 177.8
176.53, 162.56, 177.8
173.99, 162.56, 177.8
177.8, 161.798, 177.8
170.18, 161.798, 177.8
166.37, 161.798, 177.8
184.15, 160.02, 179.07
175.26, 160.02, 179.07
170.18, 160.02, 179.07
180.34, 161.29, 177.8
171.45, 161.29, 177.8
172.72, 160.02, 177.8
170.18, 160.02, 177.8
177.8, 160.02, 177.8
168.91, 160.02, 177.8
182.88, 157.48, 179.07
177.8, 157.48, 179.07
176.53, 157.48, 179.07
176.53, 157.48, 179.07
172.72, 157.48, 179.07
179.578, 159.258, 178.56199999999998
177.038, 159.258, 178.56199999999998
175.768, 159.258, 178.56199999999998
165.608, 159.258, 178.56199999999998
182.88, 157.48, 179.07
182.88, 157.48, 179.07
180.848, 154.94, 177.8
170.18, 154.94, 177.8
170.18, 152.4, 177.8
163.83, 152.4, 177.8
181.61, 148.59, 177.8
163.83, 148.59, 177.8
182.88, 147.32, 177.8
167.64000000000001, 147.32, 177.8
190.5, 173.99, 175.26
180.34, 173.99, 175.26
177.8, 173.99, 175.26
185.42000000000002, 167.64000000000001, 175.26
182.88, 167.64000000000001, 175.26
182.11800000000002, 167.64000000000001, 175.26
181.61, 167.64000000000001, 175.26
180.848, 167.64000000000001, 175.26
180.34, 167.64000000000001, 175.26
177.8, 167.64000000000001, 175.26
190.5, 169.418, 175.26
187.96, 169.418, 175.26
182.88, 169.418, 175.26
173.99, 169.418, 175.26
170.18, 169.418, 175.26
167.64000000000001, 169.418, 175.26
177.8, 167.64000000000001, 175.26
173.99, 167.64000000000001, 175.26
172.72, 167.64000000000001, 175.26
185.42000000000002, 168.91, 175.26
180.34, 168.91, 175.26
179.07, 168.91, 175.26
179.07, 168.91, 175.26
179.07, 168.91, 176.53
171.45, 168.91, 176.53
180.34, 168.91, 175.26
180.34, 167.64000000000001, 176.53
180.34, 167.64000000000001, 176.53
179.07, 167.64000000000001, 176.53
179.07, 167.64000000000001, 176.53
185.42000000000002, 167.64000000000001, 175.26
182.88, 167.64000000000001, 175.26
175.26, 167.64000000000001, 175.26
175.26, 167.64000000000001, 175.26
177.8, 165.1, 175.26
173.99, 165.1, 175.26
170.18, 165.1, 175.26
177.038, 163.83, 176.53
172.72, 163.83, 176.53
152.4, 163.83, 176.53
182.11800000000002, 162.56, 175.768
168.91, 162.56, 175.768
175.26, 160.02, 175.26
182.88, 160.02, 175.26
185.42000000000002, 160.02, 175.26
177.8, 160.02, 175.26
177.8, 160.02, 175.26
162.56, 160.02, 175.26
179.07, 161.29, 175.26
170.18, 161.29, 175.26
167.64000000000001, 161.29, 175.26
179.07, 161.29, 175.26
185.42000000000002, 157.48, 176.53
182.88, 157.48, 176.53
175.26, 157.48, 176.53
185.42000000000002, 157.48, 175.26
180.34, 157.48, 175.26
180.34, 157.48, 175.26
175.26, 157.48, 175.26
180.34, 158.75, 175.26
177.8, 158.75, 175.26
177.8, 158.75, 175.26
175.26, 158.75, 175.26
182.88, 157.48, 175.26
172.72, 157.48, 175.26
177.8, 154.94, 176.53
176.53, 154.94, 176.53
175.26, 154.94, 176.53
172.72, 154.94, 175.26
172.72, 154.94, 175.26
171.45, 154.94, 175.26
162.56, 154.94, 175.26
160.02, 154.94, 175.26
160.02, 154.94, 175.26
179.07, 152.4, 175.26
175.26, 152.4, 175.26
167.64000000000001, 152.4, 175.26
176.53, 153.67000000000002, 175.26
180.34, 179.07, 174.49800000000002
185.42000000000002, 170.18, 173.99
180.34, 170.18, 173.99
177.8, 168.91, 173.99
175.26, 168.91, 173.99
175.26, 168.91, 173.99
174.49800000000002, 168.91, 173.99
173.99, 168.91, 173.99
173.99, 168.91, 173.99
172.72, 168.91, 173.99
172.72, 168.91, 173.99
172.72, 168.91, 173.99
171.45, 165.1, 172.72
167.64000000000001, 165.1, 172.72
167.64000000000001, 166.37, 172.72
182.11800000000002, 166.37, 172.72
181.61, 166.37, 172.72
179.578, 166.37, 172.72
166.37, 166.37, 172.72
182.88, 165.1, 172.72
182.88, 165.1, 172.72
175.768, 165.1, 173.99
172.72, 165.1, 173.99
167.64000000000001, 165.1, 173.99
167.64000000000001, 165.1, 173.99
180.34, 162.56, 172.72
172.72, 162.56, 172.72
172.72, 162.56, 172.72
170.18, 162.56, 172.72
167.64000000000001, 162.56, 172.72
160.02, 162.56, 172.72
180.848, 162.56, 172.72
180.848, 162.56, 172.72
175.26, 162.56, 172.72
173.99, 162.56, 172.72
175.26, 162.56, 172.72
170.18, 162.56, 172.72
167.64000000000001, 162.56, 172.72
179.07, 160.02, 172.72
177.8, 160.02, 172.72
172.72, 160.02, 172.72
167.64000000000001, 160.02, 172.72
167.64000000000001, 160.02, 172.72
186.69, 161.29, 173.99
177.8, 161.29, 173.99
176.53, 161.29, 173.99
170.18, 160.02, 172.72
177.8, 160.02, 172.72
172.72, 160.02, 172.72
180.34, 160.02, 172.72
172.72, 160.02, 172.72
167.64000000000001, 160.02, 172.72
166.37, 160.02, 172.72
165.1, 160.02, 172.72
170.18, 160.02, 172.72
170.18, 160.02, 172.72
167.64000000000001, 160.02, 172.72
173.228, 161.29, 173.99
177.8, 160.02, 172.72
177.8, 161.29, 173.228
175.26, 161.29, 173.228
170.18, 161.29, 173.228
166.37, 161.29, 173.228
173.99, 158.75, 172.72
171.958, 157.48, 174.49800000000002
168.91, 158.75, 172.72
173.99, 154.94, 172.72
172.72, 154.94, 172.72
162.56, 154.94, 172.72
169.418, 152.90800000000002, 172.72
162.56, 152.4, 172.72
171.45, 152.4, 172.72
170.18, 152.4, 172.72
168.91, 152.4, 172.72
175.26, 149.86, 173.99
172.72, 149.86, 172.72
165.1, 149.86, 172.72
164.33800000000002, 149.86, 172.72
162.56, 149.86, 172.72
162.56, 149.86, 172.72
160.02, 149.86, 172.72
184.65800000000002, 168.148, 170.18
184.65800000000002, 168.148, 170.18
181.61, 168.148, 170.18
180.34, 168.91, 170.18
177.038, 165.1, 170.18
171.45, 165.1, 170.18
177.8, 166.37, 170.18
175.26, 166.37, 170.18
177.8, 166.37, 170.18
171.958, 166.37, 170.18
165.1, 165.1, 170.18
180.34, 165.1, 171.45
175.26, 165.1, 171.45
181.61, 162.56, 170.18
177.8, 162.56, 170.18
170.18, 162.56, 170.18
170.18, 162.56, 170.18
180.34, 161.29, 170.18
178.30800000000002, 161.29, 170.18
175.768, 161.29, 170.18
173.99, 161.29, 170.18
172.72, 161.29, 170.18
170.18, 161.29, 170.18
166.37, 161.29, 170.18
175.26, 160.02, 170.18
172.72, 160.02, 170.18
177.8, 157.48, 171.45
176.53, 157.48, 171.45
175.26, 157.48, 171.45
173.99, 157.48, 171.45
170.18, 154.94, 170.18
179.07, 170.18, 167.64000000000001
179.07, 170.18, 167.64000000000001
170.18, 170.18, 167.64000000000001
167.64000000000001, 170.18, 167.64000000000001
167.64000000000001, 170.18, 167.64000000000001
182.88, 170.18, 167.64000000000001
165.1, 170.18, 167.64000000000001
165.1, 170.18, 167.64000000000001
167.64000000000001, 167.64000000000001, 167.64000000000001
165.1, 167.64000000000001, 167.64000000000001
182.88, 167.64000000000001, 167.64000000000001
172.72, 167.64000000000001, 167.64000000000001
174.49800000000002, 165.1, 168.91
173.99, 165.1, 168.91
168.91, 165.1, 168.91
163.83, 165.1, 168.91
182.88, 166.37, 167.64000000000001
180.34, 166.37, 167.64000000000001
170.18, 166.37, 167.64000000000001
177.8, 160.02, 167.64000000000001
170.68800000000002, 160.02, 168.91
170.18, 160.02, 168.91
165.1, 160.02, 168.91
177.8, 158.75, 168.91
172.72, 158.75, 168.91
177.8, 156.21, 167.64000000000001
172.72, 152.4, 167.64000000000001
170.18, 152.4, 167.64000000000001
165.1, 152.4, 167.64000000000001
165.1, 152.4, 167.64000000000001
172.72, 149.86, 167.64000000000001
170.18, 149.86, 167.64000000000001
168.91, 149.86, 167.64000000000001
167.64000000000001, 149.86, 167.64000000000001
166.87800000000001, 149.86, 167.64000000000001
166.37, 149.86, 167.64000000000001
165.1, 149.86, 167.64000000000001
168.91, 170.18, 165.1
167.64000000000001, 170.18, 165.1
167.64000000000001, 170.18, 165.1
160.02, 167.64000000000001, 165.1
175.26, 165.1, 165.1
172.72, 165.1, 165.1
172.72, 165.1, 165.1
179.578, 166.37, 165.1
175.768, 165.1, 165.1
175.26, 165.1, 165.1
172.72, 165.1, 165.1
171.958, 165.1, 165.1
170.18, 162.56, 165.1
170.18, 162.56, 165.1
177.8, 160.02, 165.1
167.64000000000001, 160.02, 165.1
167.64000000000001, 160.02, 165.1
180.34, 160.02, 166.37
180.34, 160.02, 166.37
175.26, 160.02, 166.37
172.72, 152.4, 166.37
172.72, 152.4, 166.37
170.18, 152.4, 166.37
170.18, 152.4, 166.37
181.61, 162.56, 162.56
172.72, 162.56, 162.56
179.07, 162.56, 162.56
172.72, 162.56, 162.56
163.83, 160.02, 162.56
